,character,line,gender
72,NATASHA ROMANOFF,I'm multitasking.,FEMALE
73,FRENCH PIRATE #1,"I said to Batroc, if we want SHIELD to pay, we have to start sending them bodies now!  I have a bullet for someone.  You want a bullet in your head?! Do you want one? Eh? Move that leg. Want a bullet in your head?",MALE
74,GEORGES BATROC,I do not like to wait. Call Durand. I want the ship ready to move when the ransom arrives.,MALE
75,FRENCH PIRATE,"Yes, Batroc.",MALE
76,FRENCH PIRATE,Durand. Start the engine.,MALE
77,DURAND,Okay.,MALE
78,NATASHA ROMANOFF,"Hey, sailor.",FEMALE
79,FRENCH PIRATE,Shut up.,MALE
80,FRENCH PIRATE #1,What is it? Want to be a hero?,MALE
81,FRENCH PIRATE #1,"Well, I've waited long enough.",MALE
82,FRENCH PIRATE #1,"Hey, look for Batroc. If I do not hear anything in two minutes, I'll start to kill them!",MALE
83,FRENCH PIRATE #2,Okay. I'll find him!,MALE
84,FRENCH PIRATE #1,Two minutes.,MALE
85,FRENCH PIRATE,"Radio silence from SHIELD, Batroc.",MALE
86,STRIKE AGENT,Targets acquired.,FEMALE
87,BROCK RUMLOW,STRIKE in position.,MALE
88,STEVE ROGERS,"Natasha, what's your status?",MALE
89,STEVE ROGERS,"Status, Natasha?",MALE
90,NATASHA ROMANOFF,Hang on!,FEMALE
91,NATASHA ROMANOFF,Engine room secure.,FEMALE
92,FRENCH PIRATE #1,"Time's up. Who wants to die first?  Hey, you! Take the girl.",MALE
93,STEVE ROGERS,On my mark. Three. Two. One.,MALE
94,JASPER SITWELL,"I told you, SHIELD doesn't negotiate.",MALE
95,FRENCH PIRATE,"Hello? Batroc, the line is dead. I lost contact with them.",MALE
96,BROCK RUMLOW,"Hostages en route to extraction. Romanoff missed the rendezvous point, Cap. Hostiles are still in play.",MALE
97,STEVE ROGERS,"Natasha, Batroc's on the move. Circle back to Rumlow and protect the hostages.",MALE
98,STEVE ROGERS,Natasha!,MALE
99,GEORGES BATROC,I thought that you were more than just a shield.,MALE
100,STEVE ROGERS,Let's see.,MALE
101,NATASHA ROMANOFF,"Well, this is awkward.",FEMALE
102,STEVE ROGERS,What are you doing?,MALE
103,NATASHA ROMANOFF,Backing up the hard drive. It's a good habit to get into.,FEMALE
104,STEVE ROGERS,Rumlow needed your help. What the hell are you doing here?,MALE
105,STEVE ROGERS,You're saving SHIELD Intel.,MALE
106,NATASHA ROMANOFF,Whatever I can get my hands on.,FEMALE
107,STEVE ROGERS,Our mission is to rescue hostages.,MALE
108,NATASHA ROMANOFF,No. That's your mission.,FEMALE
109,NATASHA ROMANOFF,And you've done it beautifully.,FEMALE
110,STEVE ROGERS,You just jeopardized this whole operation.,MALE
111,NATASHA ROMANOFF,I think that's overstating things.,FEMALE
112,NATASHA ROMANOFF,Okay. That one's on me.,FEMALE
113,STEVE ROGERS,You're damn right.,MALE
114,STEVE ROGERS,"You just can't stop yourself from lying, can you?",MALE
